source_table,feature,nan_ratio,missing_over_20_percent
features_model_ready,flow_mean,0.0,False
features_model_ready,flow_std,0.0,False
features_model_ready,flow_min,0.0,False
features_model_ready,flow_max,0.0,False
features_model_ready,flow_range,0.0,False
features_model_ready,flow_rms,0.0,False
features_model_ready,flow_energy,0.0,False
features_model_ready,flow_abs_mean,0.0,False
features_model_ready,flow_zero_crossing_rate,0.0,False
features_model_ready,flow_low_amplitude_ratio,0.0,False
features_model_ready,ribcage_mean,0.0,False
features_model_ready,ribcage_std,0.0,False
features_model_ready,ribcage_min,0.0,False
features_model_ready,ribcage_max,0.0,False
features_model_ready,ribcage_range,0.0,False
features_model_ready,ribcage_rms,0.0,False
features_model_ready,ribcage_energy,0.0,False
features_model_ready,ribcage_abs_mean,0.0,False
features_model_ready,ribcage_zero_crossing_rate,0.0,False
features_model_ready,abdo_mean,0.0,False
features_model_ready,abdo_std,0.0,False
features_model_ready,abdo_min,0.0,False
features_model_ready,abdo_max,0.0,False
features_model_ready,abdo_range,0.0,False
features_model_ready,abdo_rms,0.0,False
features_model_ready,abdo_energy,0.0,False
features_model_ready,abdo_abs_mean,0.0,False
features_model_ready,abdo_zero_crossing_rate,0.0,False
features_model_ready,effort_corr,0.004328379743182802,False
features_model_ready,effort_diff_mean,0.0,False
features_model_ready,effort_diff_std,0.0,False
features_model_ready,effort_sum_energy,0.0,False
features_model_ready,spo2_mean,0.011542345981820806,False
features_model_ready,spo2_std,0.011542345981820806,False
features_model_ready,spo2_min,0.011542345981820806,False
features_model_ready,spo2_max,0.011542345981820806,False
features_model_ready,spo2_range,0.011542345981820806,False
features_model_ready,spo2_drop_from_median,0.011542345981820806,False
features_model_ready,spo2_below_90_ratio,0.011542345981820806,False
features_model_ready,spo2_below_92_ratio,0.011542345981820806,False
features_model_ready,spo2_slope,0.011542345981820806,False
features_model_ready,ecg_mean,0.0,False
features_model_ready,ecg_std,0.0,False
features_model_ready,ecg_min,0.0,False
features_model_ready,ecg_max,0.0,False
features_model_ready,ecg_range,0.0,False
features_model_ready,ecg_rms,0.0,False
features_model_ready,ecg_energy,0.0,False
features_model_ready,ecg_n_peaks,0.004328379743182802,False
features_model_ready,ecg_hr_mean,0.004376472851440389,False
features_model_ready,ecg_rr_mean,0.004376472851440389,False
features_model_ready,ecg_rr_std,0.004376472851440389,False
features_model_ready,ecg_rmssd,0.004376472851440389,False
features_model_ready,rn_flow_mean,0.0,False
features_model_ready,rn_flow_std,0.0,False
features_model_ready,rn_flow_min,0.0,False
features_model_ready,rn_flow_max,0.0,False
features_model_ready,rn_flow_range,0.0,False
features_model_ready,rn_flow_rms,0.0,False
features_model_ready,rn_flow_energy,0.0,False
features_model_ready,rn_flow_abs_mean,0.0,False
features_model_ready,rn_flow_zero_crossing_rate,0.0,False
features_model_ready,rn_flow_low_amplitude_ratio,0.0,False
features_model_ready,rn_ribcage_mean,0.0,False
features_model_ready,rn_ribcage_std,0.0,False
features_model_ready,rn_ribcage_min,0.0,False
features_model_ready,rn_ribcage_max,0.0,False
features_model_ready,rn_ribcage_range,0.0,False
features_model_ready,rn_ribcage_rms,0.0,False
features_model_ready,rn_ribcage_energy,0.0,False
features_model_ready,rn_ribcage_abs_mean,0.0,False
features_model_ready,rn_ribcage_zero_crossing_rate,0.0,False
features_model_ready,rn_abdo_mean,0.0,False
features_model_ready,rn_abdo_std,0.0,False
features_model_ready,rn_abdo_min,0.0,False
features_model_ready,rn_abdo_max,0.0,False
features_model_ready,rn_abdo_range,0.0,False
features_model_ready,rn_abdo_rms,0.0,False
features_model_ready,rn_abdo_energy,0.0,False
features_model_ready,rn_abdo_abs_mean,0.0,False
features_model_ready,rn_abdo_zero_crossing_rate,0.0,False
features_model_ready,rn_effort_corr,0.004328379743182802,False
features_model_ready,rn_effort_diff_mean,0.0,False
features_model_ready,rn_effort_diff_std,0.0,False
features_model_ready,rn_effort_sum_energy,0.0,False
features_model_ready,rn_spo2_mean,0.011542345981820806,False
features_model_ready,rn_spo2_std,0.011542345981820806,False
features_model_ready,rn_spo2_min,0.011542345981820806,False
features_model_ready,rn_spo2_max,0.011542345981820806,False
features_model_ready,rn_spo2_range,0.011542345981820806,False
features_model_ready,rn_spo2_drop_from_median,0.011542345981820806,False
features_model_ready,rn_spo2_below_90_ratio,0.05097869475304189,False
features_model_ready,rn_spo2_below_92_ratio,0.011542345981820806,False
features_model_ready,rn_spo2_slope,0.011542345981820806,False
features_model_ready,rn_ecg_mean,0.0,False
features_model_ready,rn_ecg_std,0.0,False
features_model_ready,rn_ecg_min,0.0,False
features_model_ready,rn_ecg_max,0.0,False
features_model_ready,rn_ecg_range,0.0,False
features_model_ready,rn_ecg_rms,0.0,False
features_model_ready,rn_ecg_energy,0.0,False
features_model_ready,rn_ecg_n_peaks,0.004328379743182802,False
features_model_ready,rn_ecg_hr_mean,0.004376472851440389,False
features_model_ready,rn_ecg_rr_mean,0.004376472851440389,False
features_model_ready,rn_ecg_rr_std,0.004376472851440389,False
features_model_ready,rn_ecg_rmssd,0.004376472851440389,False
features_model_ready,prev1_flow_low_amplitude_ratio,0.0012023277064396672,False
features_model_ready,next1_flow_low_amplitude_ratio,0.0012023277064396672,False
features_model_ready,roll3_mean_flow_low_amplitude_ratio,0.0,False
features_model_ready,roll3_min_flow_low_amplitude_ratio,0.0,False
features_model_ready,roll3_max_flow_low_amplitude_ratio,0.0,False
features_model_ready,prev1_flow_energy,0.0012023277064396672,False
features_model_ready,next1_flow_energy,0.0012023277064396672,False
features_model_ready,roll3_mean_flow_energy,0.0,False
features_model_ready,roll3_min_flow_energy,0.0,False
features_model_ready,roll3_max_flow_energy,0.0,False
features_model_ready,prev1_spo2_min,0.012696580580002885,False
features_model_ready,next1_spo2_min,0.012456115038714952,False
features_model_ready,roll3_mean_spo2_min,0.009474342326744578,False
features_model_ready,roll3_min_spo2_min,0.009474342326744578,False
features_model_ready,roll3_max_spo2_min,0.009474342326744578,False
features_model_ready,prev1_spo2_mean,0.012696580580002885,False
features_model_ready,next1_spo2_mean,0.012456115038714952,False
features_model_ready,roll3_mean_spo2_mean,0.009474342326744578,False
features_model_ready,roll3_min_spo2_mean,0.009474342326744578,False
features_model_ready,roll3_max_spo2_mean,0.009474342326744578,False
features_model_ready,prev1_spo2_below_90_ratio,0.012696580580002885,False
features_model_ready,next1_spo2_below_90_ratio,0.012456115038714952,False
features_model_ready,roll3_mean_spo2_below_90_ratio,0.009474342326744578,False
features_model_ready,roll3_min_spo2_below_90_ratio,0.009474342326744578,False
features_model_ready,roll3_max_spo2_below_90_ratio,0.009474342326744578,False
features_model_ready,prev1_spo2_below_92_ratio,0.012696580580002885,False
features_model_ready,next1_spo2_below_92_ratio,0.012456115038714952,False
features_model_ready,roll3_mean_spo2_below_92_ratio,0.009474342326744578,False
features_model_ready,roll3_min_spo2_below_92_ratio,0.009474342326744578,False
features_model_ready,roll3_max_spo2_below_92_ratio,0.009474342326744578,False
features_model_ready,prev1_effort_corr,0.005530707449622469,False
features_model_ready,next1_effort_corr,0.005530707449622469,False
features_model_ready,roll3_mean_effort_corr,0.0034627037945462414,False
features_model_ready,roll3_min_effort_corr,0.0034627037945462414,False
features_model_ready,roll3_max_effort_corr,0.0034627037945462414,False
features_model_ready,prev1_ribcage_energy,0.0012023277064396672,False
features_model_ready,next1_ribcage_energy,0.0012023277064396672,False
features_model_ready,roll3_mean_ribcage_energy,0.0,False
features_model_ready,roll3_min_ribcage_energy,0.0,False
features_model_ready,roll3_max_ribcage_energy,0.0,False
features_model_ready,prev1_abdo_energy,0.0012023277064396672,False
features_model_ready,next1_abdo_energy,0.0012023277064396672,False
features_model_ready,roll3_mean_abdo_energy,0.0,False
features_model_ready,roll3_min_abdo_energy,0.0,False
features_model_ready,roll3_max_abdo_energy,0.0,False
features_advanced,flow_mean,0.0,False
features_advanced,flow_std,0.0,False
features_advanced,flow_min,0.0,False
features_advanced,flow_max,0.0,False
features_advanced,flow_range,0.0,False
features_advanced,flow_rms,0.0,False
features_advanced,flow_energy,0.0,False
features_advanced,flow_abs_mean,0.0,False
features_advanced,flow_zero_crossing_rate,0.0,False
features_advanced,flow_low_amplitude_ratio,0.0,False
features_advanced,ribcage_mean,0.0,False
features_advanced,ribcage_std,0.0,False
features_advanced,ribcage_min,0.0,False
features_advanced,ribcage_max,0.0,False
features_advanced,ribcage_range,0.0,False
features_advanced,ribcage_rms,0.0,False
features_advanced,ribcage_energy,0.0,False
features_advanced,ribcage_abs_mean,0.0,False
features_advanced,ribcage_zero_crossing_rate,0.0,False
features_advanced,abdo_mean,0.0,False
features_advanced,abdo_std,0.0,False
features_advanced,abdo_min,0.0,False
features_advanced,abdo_max,0.0,False
features_advanced,abdo_range,0.0,False
features_advanced,abdo_rms,0.0,False
features_advanced,abdo_energy,0.0,False
features_advanced,abdo_abs_mean,0.0,False
features_advanced,abdo_zero_crossing_rate,0.0,False
features_advanced,effort_corr,0.004328379743182802,False
features_advanced,effort_diff_mean,0.0,False
features_advanced,effort_diff_std,0.0,False
features_advanced,effort_sum_energy,0.0,False
features_advanced,spo2_mean,0.011542345981820806,False
features_advanced,spo2_std,0.011542345981820806,False
features_advanced,spo2_min,0.011542345981820806,False
features_advanced,spo2_max,0.011542345981820806,False
features_advanced,spo2_range,0.011542345981820806,False
features_advanced,spo2_drop_from_median,0.011542345981820806,False
features_advanced,spo2_below_90_ratio,0.011542345981820806,False
features_advanced,spo2_below_92_ratio,0.011542345981820806,False
features_advanced,spo2_slope,0.011542345981820806,False
